название,описание,цена,картинка
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 Grey,"



        Операционная система Windows 10; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 240 Гб; DVDRW нет; вес от 1.8 кг            ",36680 сом,https://www.kivano.kg/images/product/92679/1621497953_77010600.png
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 DOS Black,"



        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW...            ",45630 сом,https://www.kivano.kg/images/product/93959/1623262933_92709900.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 512 GB; Вес: от 1.85 кг            ",66200 сом,https://www.kivano.kg/images/product/102151/1641270567_61666300.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 DOS Black,"



        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 240 GB; DVDRW...            ",47560 сом,https://www.kivano.kg/images/product/93960/1623263004_84115500.jpg
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i7 (4/8) 1300 MHz; видеоадаптер NVIDIA MX330 2GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 12 GB DDR4; накопитель SSD 512 GB; DVDRW нет;...            ",69260 сом,https://www.kivano.kg/images/product/104968/1648664898_47302400.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Вес: от 1.85 кг            ",57450 сом,https://www.kivano.kg/images/product/102153/1641272134_01449300.jpg
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i7 (4/8) 1300 MHz; видеоадаптер NVIDIA MX330 2GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 12 GB DDR4; накопитель SSD 128 GB; DVDRW нет;...            ",66200 сом,https://www.kivano.kg/images/product/104969/1648664907_21301300.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW...            ",34670 сом,https://www.kivano.kg/images/product/104970/1648666662_11396700.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 256GB SSD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 256 GB; Вес: от 1.85 кг            ",58330 сом,https://www.kivano.kg/images/product/102155/1641272323_33397000.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB; DVDRW...            ",36420 сом,https://www.kivano.kg/images/product/104971/1648666631_26360700.jpg
Ноутбук MSI GP66 Leopard Intel Core i7-11800H 16GB DDR4 512GB SSD NVIDIA RTX3080 FHD W10 Black,"



        Операционная система Windows 10; процессор Intel Core i7-11800H (8/16) 2300-4600 MHz; оперативная память 16 GB DDR4; накопитель 512 GB SSD; экран 15.6"" IPS 1920x1080~144 Hz; видеоадаптер NVIDIA RTX 3080            ",202690 сом,https://www.kivano.kg/images/product/106763/1653023098_49220200.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB; DVDRW...            ",36600 сом,https://www.kivano.kg/images/product/104972/1648667953_26645900.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW...            ",46070 сом,https://www.kivano.kg/images/product/93965/1623263295_52606600.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 512GB SSD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 1.85 кг            ",61830 сом,https://www.kivano.kg/images/product/102157/1641272525_37853700.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW...            ",34670 сом,https://www.kivano.kg/images/product/104973/1648667966_84581400.jpg
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 240 GB; DVDRW...            ",48260 сом,https://www.kivano.kg/images/product/93966/1623263435_12097200.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW...            ",36420 сом,https://www.kivano.kg/images/product/104974/1648667980_11199800.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW...            ",35540 сом,https://www.kivano.kg/images/product/104975/1648667990_26060800.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 4GB DDR 128GB SSD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 GB DDR; Объем накопителя SSD: 128 GB; Вес: от 2.2...            ",32470 сом,https://www.kivano.kg/images/product/102160/1641273246_54477700.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW...            ",37310 сом,https://www.kivano.kg/images/product/104976/1648668003_61997100.jpg
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 11.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб; вес от 1.52 кг            ",23230 сом,https://www.kivano.kg/images/product/89617/1614854895_76080400.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 8GB DDR 128GB SSD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 128 GB; Вес: от 2.2...            ",34230 сом,https://www.kivano.kg/images/product/102161/1641273536_67941100.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 512GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW...            ",39060 сом,https://www.kivano.kg/images/product/104977/1648668014_31252100.jpg
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS Black,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 240 Gb; Вес: от 1.9 кг            ",38440 сом,https://www.kivano.kg/images/product/97298/1630900891_88049400.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500GB + SSD...            ",36420 сом,https://www.kivano.kg/images/product/104978/1648669591_41651300.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 8GB DDR 1000GB HDD + 512GB SSD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 GB DDR; Объем накопителя HDD: 1000 GB;  Объем накопителя SSD: 512 GB;...            ",39930 сом,https://www.kivano.kg/images/product/102163/1641273807_27059000.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500GB + SSD...            ",38180 сом,https://www.kivano.kg/images/product/104979/1648669604_91586100.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 4GB DDR 256GB SSD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 2.2...            ",31590 сом,https://www.kivano.kg/images/product/102164/1641274079_14564900.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500GB + SSD...            ",37310 сом,https://www.kivano.kg/images/product/104980/1648669614_45502100.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 4GB DDR 500GB HDD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 GB DDR; Объем накопителя HDD: 500 GB; Вес: от 2.2 кг            ",32650 сом,https://www.kivano.kg/images/product/102165/1641274178_25993500.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500GB + SSD...            ",39060 сом,https://www.kivano.kg/images/product/104981/1648669624_39718700.jpg
Ноутбук Asus X409FA Intel Core i3-10110U 12GB DDR4 240GB SSD DOS Slate Gray,"



        Операционная система DOS; процессор Intel Core i3-10110U (2/4) 2100-4100 MHz; оперативная память 12GB DDR4; накопитель 240GB SSD; экран 14"" TN 1366x768; видеоадаптер Intel Graphics            ",40990 сом,https://www.kivano.kg/images/product/107029/1653628345_38249100.jpg
Ноутбук Acer Aspire 3 A315-34-C1JW Intel Celeron N4000 4GB DDR4 1000GB HDD FHD DOS черный,"



        Операционная система DOS; процессор Intel Celeron N4000; видеоадаптер встроенный; диагональ экрана 15.6"" TFT LCD; оперативная память 4 Гб; накопитель HDD 1000 Гб; вес от 1.94 кг            ",26310 сом,https://www.kivano.kg/images/product/79126/1653625422_63248200.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 8GB DDR 256GB SSD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 2.2...            ",33350 сом,https://www.kivano.kg/images/product/102166/1641274359_54529900.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000GB + SSD...            ",36600 сом,https://www.kivano.kg/images/product/104982/1648669634_22596200.jpg
Ноутбук Lenovo Ideapad L3 15ITL6 Intel Pentium Gold 7505 8GB DDR 500GB HDD Intel UHD Graphics FHD DOS серебристый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium Gold 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 GB DDR; Объем накопителя HDD: 500 GB; Вес: от 2.2 кг            ",34400 сом,https://www.kivano.kg/images/product/102167/1641274511_21649800.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000GB + SSD...            ",38350 сом,https://www.kivano.kg/images/product/104983/1648669644_23780800.jpg
Ноутбук Acer Aspire A115-32-C44C Intel Celeron N4500 8GB DDR4 1000GB HDD + 128GB EMMC FHD W10 Electric Blue,"



        Операционная система Windows 10; процессор Intel Celeron N4500 (2/2) 1100-2800 MHz; оперативная память 8 GB DDR4; накопитель 1000 GB HDD + 128 GB EMMC; экран 15.6"" IPS 1920x1080; видеоадаптер Intel...            ",38000 сом,https://www.kivano.kg/images/product/106775/1653025991_22737300.jpg
Ноутбук HP 250 G7 Intel Core i5-1035G1 4GB DRR4 256GB SSD NVIDIA MX110 FHD DOS Gray,"



        Операционная система DOS; процессор Intel Core i5-1035G1 (4/8) 1000-3600 MHz; оперативная память 4GB DDR4; накопитель 256GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер NVIDIA MX110            ",59640 сом,https://www.kivano.kg/images/product/107031/1653634515_45497500.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 4GB DDR4; накопитель 1000GB HDD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",35460 сом,https://www.kivano.kg/images/product/107543/1655373720_22599400.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 1000GB HDD + 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.7...            ",60520 сом,https://www.kivano.kg/images/product/107799/1655973262_55220300.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 12GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 12 GB DDR4; накопитель HDD 1000GB + SSD...            ",40110 сом,https://www.kivano.kg/images/product/104984/1648669655_36534100.jpg
Ноутбук HP Victus 16-e0043ur AMD Ryzen 5 5600H 8GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 5 5600H (6/12) 3300-4200 MHz; оперативная память 8GB DDR4; накопитель 512 GB SSD; экран 16.1"" IPS 1920x1080~144Hz; видеоадаптер NVIDIA GTX1650            ",77120 сом,https://www.kivano.kg/images/product/107032/1653635647_00462300.jpg
Ноутбук Acer Extensa EX215-52-38SC Intel Core i3-1005G1 8GB DDR4 1000GB HDD FHD DOS Black,"



        Операционная система DOS; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 1000GB HDD; экран 15.6"" TN 1920x1080; видеоадаптер Intel Graphics             ",36950 сом,https://www.kivano.kg/images/product/107544/1655373739_05575900.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 500GB HDD + 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.7...            ",59820 сом,https://www.kivano.kg/images/product/107800/1655973866_76157600.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 4GB DDR 256GB SSD Intel HD Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron 6305; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 2.2 кг            ",29830 сом,https://www.kivano.kg/images/product/102169/1641274894_61032700.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 1000GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000GB + SSD...            ",37480 сом,https://www.kivano.kg/images/product/104985/1648669665_16624100.jpg
Ноутбук HP Victus 16-e0043ur AMD Ryzen 5 5600H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 5 5600H (6/12) 3300-4200 MHz; оперативная память 16GB DDR4; накопитель 512 GB SSD; экран 16.1"" IPS 1920x1080~144Hz; видеоадаптер NVIDIA GTX1650            ",79300 сом,https://www.kivano.kg/images/product/107033/1653635674_38524800.jpg
Ноутбук Acer Extensa EX214 Intel Core i5-1135G7 16GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.7 кг            ",58330 сом,https://www.kivano.kg/images/product/107801/1655973998_59420500.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Celeron 6305 4GB DDR 1000GB HDD Intel HD Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron 6305; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 GB DDR; Объем накопителя HDD: 1000 GB; Вес: от 2.2 кг            ",28510 сом,https://www.kivano.kg/images/product/102170/1641274990_49281900.jpg
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000GB + SSD...            ",39230 сом,https://www.kivano.kg/images/product/104986/1648669674_42294000.jpg
Ноутбук HP Victus 16-e0043ur AMD Ryzen 5 5600H 32GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Black,"



        Операционная система DOS; процессор AMD Ryzen 5 5600H (6/12) 3300-4200 MHz; оперативная память 32GB DDR4; накопитель 512 GB SSD; экран 16.1"" IPS 1920x1080~144Hz; видеоадаптер NVIDIA GTX1650            ",85850 сом,https://www.kivano.kg/images/product/107034/1653635692_98541600.jpg
